"data_all_means","mean_people","mean_experiments","mean_coords"
-2.79186894445151,"p9","e10","y"
34.382575736613,"p10","e10","z"
32.1643178030687,"p1","e11","x"
-2.79000242472365,"p2","e11","y"
36.3136406658241,"p3","e11","z"
30.4478697274293,"p4","e11","x"
-1.0145127225402,"p5","e11","y"
36.1674273409898,"p6","e11","z"
28.8978464997032,"p7","e11","x"
-1.96494375146043,"p8","e11","y"
35.3688012106666,"p9","e11","z"
27.8721964753275,"p10","e11","x"
-2.42755745277919,"p1","e12","y"
34.810489368613,"p2","e12","z"
29.5670949533274,"p3","e12","x"
-1.43166653290216,"p4","e12","y"
34.5742798634264,"p5","e12","z"
31.8497424593513,"p6","e12","x"
-0.690121839829539,"p7","e12","y"
36.4049269404319,"p8","e12","z"
29.8916075214692,"p9","e12","x"
-1.02574109918889,"p10","e12","y"
35.1249270051385,"p1","e13","z"
30.7046469163153,"p2","e13","x"
-0.281841339654061,"p3","e13","y"
36.2716890369099,"p4","e13","z"
30.3270027635461,"p5","e13","x"
-2.06919324825055,"p6","e13","y"
36.0432493735443,"p7","e13","z"
30.3618225256005,"p8","e13","x"
-2.08291392234855,"p9","e13","y"
34.1144964608344,"p10","e13","z"
32.236143946204,"p1","e14","x"
-1.55257951048184,"p2","e14","y"
33.4371726383503,"p3","e14","z"
32.2628058984519,"p4","e14","x"
-0.959253224035259,"p5","e14","y"
32.2207179390655,"p6","e14","z"
33.8591857010358,"p7","e14","x"
-2.73504618393328,"p8","e14","y"
31.8620019923565,"p9","e14","z"
30.132848398232,"p10","e14","x"
-2.23404484677066,"p1","e15","y"
33.0935528140584,"p2","e15","z"
32.2762958022763,"p3","e15","x"
-1.22831210595628,"p4","e15","y"
32.7379323297668,"p5","e15","z"
31.7876692280614,"p6","e15","x"
-2.70670165647393,"p7","e15","y"
34.1068181333024,"p8","e15","z"
28.2616964090036,"p9","e15","x"
-2.49383992747899,"p10","e15","y"
33.1422439631905,"p1","e16","z"
31.778352955773,"p2","e16","x"
-2.58013494812955,"p3","e16","y"
32.9306032703103,"p4","e16","z"
30.988195995699,"p5","e16","x"
-2.61059120809498,"p6","e16","y"
33.317981826087,"p7","e16","z"
31.6088870079893,"p8","e16","x"
-2.22493227526042,"p9","e16","y"
33.4568242154037,"p10","e16","z"
29.4168615540529,"p1","e1","x"
-2.4660906575855,"p2","e1","y"
34.2653904389709,"p3","e1","z"
30.8860065387479,"p4","e1","x"
-2.59541135587785,"p5","e1","y"
33.2152959977005,"p6","e1","z"
33.3855135828646,"p7","e1","x"
-2.64598547208368,"p8","e1","y"
31.7812749075409,"p9","e1","z"
31.6739969309161,"p10","e1","x"
-1.56029769401553,"p1","e2","y"
31.8744788065891,"p2","e2","z"
31.0247797075633,"p3","e2","x"
-2.30135728400565,"p4","e2","y"
32.8283622128958,"p5","e2","z"
31.8696312698575,"p6","e2","x"
-2.48047900941765,"p7","e2","y"
32.8494772780535,"p8","e2","z"
32.371524752188,"p9","e2","x"
-1.54371735090198,"p10","e2","y"
32.7921688683958,"p1","e3","z"
31.02877240855,"p2","e3","x"
-0.949297365317959,"p3","e3","y"
32.2715394425998,"p4","e3","z"
32.5963494434757,"p5","e3","x"
-1.22972262957891,"p6","e3","y"
33.3001445455447,"p7","e3","z"
31.262143629308,"p8","e3","x"
-1.19673622436616,"p9","e3","y"
33.5302405855952,"p10","e3","z"
33.3692872509187,"p1","e4","x"
-1.95835333567399,"p2","e4","y"
32.7675297523277,"p3","e4","z"
30.6589443755779,"p4","e4","x"
-2.89089345638158,"p5","e4","y"
33.4346292918421,"p6","e4","z"
29.7924726319854,"p7","e4","x"
-2.81571830644931,"p8","e4","y"
32.4239115151738,"p9","e4","z"
30.9783150915427,"p10","e4","x"
-3.79091794443883,"p1","e5","y"
32.8642717264504,"p2","e5","z"
28.7155890995809,"p3","e5","x"
-2.45730853383836,"p4","e5","y"
32.8880308488737,"p5","e5","z"
30.2899463201501,"p6","e5","x"
-2.14519984952364,"p7","e5","y"
33.1508715414551,"p8","e5","z"
29.0486083853057,"p9","e5","x"
-2.42718035023351,"p10","e5","y"
31.7729633177508,"p1","e6","z"
29.9084981252575,"p2","e6","x"
-3.12897385567775,"p3","e6","y"
33.9182572344862,"p4","e6","z"
28.2113993830169,"p5","e6","x"
-2.46351326925902,"p6","e6","y"
34.1494249627921,"p7","e6","z"
28.6785451965726,"p8","e6","x"
-3.39988575290914,"p9","e6","y"
31.188632705612,"p10","e6","z"
