"data_all_max","max_people","max_experiments","max_coords"
60.2911171932532,"p4","e9","x"
0.55274776410116,"p5","e9","y"
50.0836611014569,"p6","e9","z"
59.8018247653036,"p7","e9","x"
0.437691116489024,"p8","e9","y"
49.8269831411381,"p9","e9","z"
59.8993260674235,"p10","e9","x"
1.34690697022327,"p1","e10","y"
49.8156459068502,"p2","e10","z"
59.174434520707,"p3","e10","x"
0.704900268395075,"p4","e10","y"
55.9874314529719,"p5","e10","z"
59.8766190195469,"p6","e10","x"
0.555988185380666,"p7","e10","y"
52.2182583069472,"p8","e10","z"
59.9935182878291,"p9","e10","x"
1.56725119816723,"p10","e10","y"
48.9566201106789,"p1","e11","z"
59.6922861943999,"p2","e11","x"
0.480418898190845,"p3","e11","y"
56.3477612218321,"p4","e11","z"
60.665300905581,"p5","e11","x"
1.15580670542836,"p6","e11","y"
54.5132625646906,"p7","e11","z"
59.9936360730349,"p8","e11","x"
2.05229759037057,"p9","e11","y"
50.9271910826309,"p10","e11","z"
59.2407574305579,"p1","e12","x"
0.197880319616139,"p2","e12","y"
46.2028786355825,"p3","e12","z"
59.6559081645882,"p4","e12","x"
-0.0914635684665653,"p5","e12","y"
46.5657779786691,"p6","e12","z"
59.8118053868704,"p7","e12","x"
-0.237906409311941,"p8","e12","y"
41.525894389166,"p9","e12","z"
60.3675440509732,"p10","e12","x"
-0.454076867672043,"p1","e13","y"
44.3722242817148,"p2","e13","z"
60.6231577009718,"p3","e13","x"
2.66626030870529,"p4","e13","y"
43.919406723223,"p5","e13","z"
60.8461043209298,"p6","e13","x"
1.41056467540833,"p7","e13","y"
45.709309870968,"p8","e13","z"
61.3635272845117,"p9","e13","x"
0.795417788353302,"p10","e13","y"
45.2070552817654,"p1","e14","z"
60.9260485263749,"p2","e14","x"
1.94560434463892,"p3","e14","y"
47.6057234944499,"p4","e14","z"
60.2668667220966,"p5","e14","x"
3.6425240995479,"p6","e14","y"
42.6461322073215,"p7","e14","z"
60.6580056736593,"p8","e14","x"
1.9642274523159,"p9","e14","y"
41.555792492584,"p10","e14","z"
59.2242010071516,"p1","e15","x"
-0.204237918469673,"p2","e15","y"
54.240082668406,"p3","e15","z"
59.6475456420314,"p4","e15","x"
-0.495206229297094,"p5","e15","y"
56.0001687186662,"p6","e15","z"
60.4176468032901,"p7","e15","x"
0.596269466476142,"p8","e15","y"
56.0176372416936,"p9","e15","z"
60.5139137816462,"p10","e15","x"
-0.231360012741181,"p1","e16","y"
57.47723220971,"p2","e16","z"
59.468267499143,"p3","e16","x"
-0.493039903619924,"p4","e16","y"
59.6171145664444,"p5","e16","z"
60.4720753381485,"p6","e16","x"
0.799957909372499,"p7","e16","y"
57.9586838125984,"p8","e16","z"
60.1688375270245,"p9","e16","x"
0.620953059814128,"p10","e16","y"
59.677830373345,"p1","e1","z"
59.5316491711065,"p2","e1","x"
-0.268015163008781,"p3","e1","y"
57.8051121045557,"p4","e1","z"
61.2075890102466,"p5","e1","x"
0.0702332788860137,"p6","e1","y"
58.4598696988519,"p7","e1","z"
58.9944855419918,"p8","e1","x"
0.177977936968851,"p9","e1","y"
56.1091940836344,"p10","e1","z"
59.0064359457125,"p1","e2","x"
1.10397384694298,"p2","e2","y"
46.8894623682606,"p3","e2","z"
58.935839861633,"p4","e2","x"
0.661297876048528,"p5","e2","y"
49.0574025024162,"p6","e2","z"
58.6920143430955,"p7","e2","x"
0.466286120045688,"p8","e2","y"
46.3419327227784,"p9","e2","z"
58.6491883198044,"p10","e2","x"
0.539353778047424,"p1","e3","y"
49.7852444231253,"p2","e3","z"
58.7639944872218,"p3","e3","x"
0.53180701525756,"p4","e3","y"
49.0976231477198,"p5","e3","z"
58.9736989794756,"p6","e3","x"
0.428504851605941,"p7","e3","y"
48.2841158366958,"p8","e3","z"
58.8509213154069,"p9","e3","x"
1.41014481029578,"p10","e3","y"
48.1144273238452,"p1","e4","z"
59.045755345433,"p2","e4","x"
1.13448438589516,"p3","e4","y"
47.8552619706091,"p4","e4","z"
58.9200764564498,"p5","e4","x"
0.886344733928739,"p6","e4","y"
