"data_all_lengths","length_people","length_experiments"
94.0031155162098,"p4","e2"
89.2479238882231,"p4","e2"
88.1942929215286,"p4","e2"
93.0785638723043,"p4","e2"
93.5181081288082,"p4","e2"
87.9480654140069,"p4","e2"
85.1790063321808,"p4","e2"
91.828796912801,"p4","e2"
103.065268767313,"p5","e2"
104.372587227472,"p5","e2"
97.7900981287976,"p5","e2"
93.6672163243089,"p5","e2"
92.0895260052803,"p5","e2"
102.191438832463,"p5","e2"
93.6578632994775,"p5","e2"
94.396786723686,"p5","e2"
96.7766798373611,"p5","e2"
92.7842050586579,"p5","e2"
89.3396846352857,"p6","e2"
87.5828847527126,"p6","e2"
88.132761107291,"p6","e2"
86.0489460796393,"p6","e2"
87.2358269521682,"p6","e2"
94.5976936965654,"p6","e2"
88.887941193508,"p6","e2"
86.0053193034364,"p6","e2"
86.4419113384007,"p6","e2"
86.2912568735245,"p6","e2"
90.777561314853,"p7","e2"
87.2970605720576,"p7","e2"
85.4222291569374,"p7","e2"
88.3008828601451,"p7","e2"
86.8239741251158,"p7","e2"
84.0992990265531,"p7","e2"
87.1965066568926,"p7","e2"
84.4428128356209,"p7","e2"
85.6186191863138,"p7","e2"
89.6872913709869,"p7","e2"
87.3444934349416,"p8","e2"
89.9476790686518,"p8","e2"
86.6523151660566,"p8","e2"
90.3239476211254,"p8","e2"
89.5436870221284,"p8","e2"
88.2394104364759,"p8","e2"
82.391204765839,"p8","e2"
93.2597781877419,"p8","e2"
91.9038757955146,"p8","e2"
84.9238162488127,"p8","e2"
101.634226671691,"p9","e2"
104.277702697852,"p9","e2"
107.397466248031,"p9","e2"
107.524652571979,"p9","e2"
106.38025431131,"p9","e2"
104.044573019123,"p9","e2"
104.057721631903,"p9","e2"
101.241329294167,"p9","e2"
101.729027693893,"p9","e2"
105.315712471572,"p9","e2"
90.4858475096079,"p10","e2"
94.0166998883092,"p10","e2"
91.9511435716832,"p10","e2"
94.4543204992301,"p10","e2"
94.3332890415039,"p10","e2"
94.2526616265507,"p10","e2"
97.3726942318965,"p10","e2"
95.5479406467305,"p10","e2"
89.8386611696863,"p10","e2"
95.3392814745218,"p10","e2"
114.695004906769,"p1","e3"
112.725113654069,"p1","e3"
111.355889509477,"p1","e3"
121.055933217921,"p1","e3"
121.656886229132,"p1","e3"
111.123742046234,"p1","e3"
119.282319780209,"p1","e3"
115.677925491233,"p1","e3"
121.031766531063,"p1","e3"
118.712609554935,"p1","e3"
100.58233095106,"p2","e3"
100.023157261781,"p2","e3"
97.954404753683,"p2","e3"
96.3629812742475,"p2","e3"
101.159493113423,"p2","e3"
95.2797548814262,"p2","e3"
97.2254568803338,"p2","e3"
97.0491108565682,"p2","e3"
97.5353946201011,"p2","e3"
100.363322106959,"p2","e3"
109.879678323466,"p3","e3"
101.75936226906,"p3","e3"
101.411165250318,"p3","e3"
99.6425423315136,"p3","e3"
95.1740733476165,"p3","e3"
100.97411987957,"p3","e3"
104.611682202028,"p3","e3"
101.887016405544,"p3","e3"
105.899284183642,"p3","e3"
107.393521484435,"p3","e3"
100.709355564575,"p4","e3"
101.209918753234,"p4","e3"
99.623779114348,"p4","e3"
101.815543132699,"p4","e3"
97.1751679574445,"p4","e3"
95.66281323743,"p4","e3"
105.20968271869,"p4","e3"
96.0171757272843,"p4","e3"
100.573466686554,"p4","e3"
100.256564996801,"p4","e3"
116.470543172008,"p5","e3"
108.657221384348,"p5","e3"
104.061558021993,"p5","e3"
112.997223850599,"p5","e3"
103.648599581205,"p5","e3"
105.287601442497,"p5","e3"
107.480098856568,"p5","e3"
104.818684896916,"p5","e3"
109.450106856172,"p5","e3"
109.086992298704,"p5","e3"
102.221372336154,"p6","e3"
96.3258173442406,"p6","e3"
101.606770210378,"p6","e3"
98.128942668694,"p6","e3"
98.5783853652407,"p6","e3"
98.3280095595439,"p6","e3"
97.3041587396975,"p6","e3"
105.121759586644,"p6","e3"
104.298464557744,"p6","e3"
